setting_id,policy,continuation_cost,scarcity_cost_scale,observation_noise,init_regime,init_entropy_low,init_entropy_high,avg_reward,std_reward,avg_stopping_time,avg_final_entropy
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,immediate_stop,0.03,0.0,0.0,wide,0.1,0.95,0.5922714033840434,0.19669695210982982,0,0.5096607457699458
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,never_stop_early,0.03,0.0,0.0,wide,0.1,0.95,0.750520398380182,0.00989927708278854,8,0.011849502024772503
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,budget_threshold,0.03,0.0,0.0,wide,0.1,0.95,0.7995746904205311,0.0548906286302592,2.645,0.1513441369743361
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_entropy_gate,0.03,0.0,0.0,wide,0.1,0.95,0.7995746904205311,0.0548906286302592,2.645,0.1513441369743361
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,oracle_threshold,0.03,0.0,0.0,wide,0.1,0.95,0.8293362672484877,0.05041468931964676,4.68,0.03782966593939036
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.00_alpha=0.25,0.03,0.0,0.0,wide,0.1,0.95,0.8284093299336359,0.05028716254418318,4.785,0.03505083758295509
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.00_alpha=0.50,0.03,0.0,0.0,wide,0.1,0.95,0.8262309669732383,0.05277544602558288,4.035,0.0658987912834522
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.00_alpha=0.75,0.03,0.0,0.0,wide,0.1,0.95,0.8193565547030776,0.05325021957231041,3.47,0.09567930662115301
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.00_alpha=1.00,0.03,0.0,0.0,wide,0.1,0.95,0.8099138681433836,0.05646788463655094,3.05,0.12323266482077042
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.00_alpha=1.25,0.03,0.0,0.0,wide,0.1,0.95,0.8012459048089997,0.05859683301617325,2.715,0.14663011898875034
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.00_alpha=1.50,0.03,0.0,0.0,wide,0.1,0.95,0.7916239691542155,0.06007648191959282,2.445,0.16878253855723055
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.08_alpha=0.25,0.03,0.0,0.0,wide,0.1,0.95,0.8208996935522881,0.05056158969635152,3.525,0.09168788305963985
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.08_alpha=0.50,0.03,0.0,0.0,wide,0.1,0.95,0.8103134552737298,0.05380934903295837,3.02,0.1238581809078378
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.08_alpha=1.00,0.03,0.0,0.0,wide,0.1,0.95,0.7891379561337005,0.05858269631143648,2.37,0.1747025548328744
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.08_alpha=1.25,0.03,0.0,0.0,wide,0.1,0.95,0.7776073277973381,0.062043920449517655,2.095,0.1994283402533274
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.08_alpha=1.50,0.03,0.0,0.0,wide,0.1,0.95,0.7637448758990478,0.0670253746255111,1.84,0.2263189051261902
cost=0.030|scarcity=0.000|obs_noise=0.000|init=wide,ego_grid_h0=0.16_alpha=0.25,0.03,0.0,0.0,wide,0.1,0.95,0.7992063184294071,0.05104013672106329,2.62,0.1527421019632411
